id_estudiante,nombre,carrera,edad,genero,semestre
57,Carlos Castillo,Sistemas,21,Masculino,5
58,José Ruiz,Administración,28,Masculino,5
59,Andrés Ramírez,Contabilidad,19,Masculino,7
60,José Pérez,Sistemas,28,Masculino,5
61,Carlos Ramírez,Psicología,31,Masculino,2
62,Luis Torres,Psicología,19,Femenino,10
63,Andrés Torres,Derecho,22,Masculino,5
64,Camila Pérez,Contabilidad,24,Masculino,2
65,Camila Vega,Derecho,22,Masculino,3
66,Carlos Morales,Sistemas,23,Femenino,7
67,María Castillo,Administración,21,Femenino,1
68,Daniela López,Administración,32,Femenino,5
69,María López,Sistemas,24,Femenino,6
70,José Gómez,Contabilidad,29,Femenino,9
71,Camila Pérez,Sistemas,26,Masculino,10
72,José Pérez,Sistemas,31,Femenino,6
73,Pedro Ruiz,Psicología,21,Femenino,10
74,María Castillo,Sistemas,31,Masculino,9
75,Andrés López,Contabilidad,31,Masculino,6
76,Sofía Díaz,Educación,21,Femenino,9
77,José Morales,Contabilidad,30,Femenino,9
78,Carlos López,Derecho,30,Masculino,10
79,Sofía Castillo,Derecho,35,Masculino,5
80,José López,Derecho,28,Femenino,8
81,Daniela López,Psicología,33,Masculino,2
82,José Vega,Educación,28,Masculino,4
83,José López,Administración,22,Masculino,1
84,María Ramírez,Psicología,20,Femenino,7
85,Sofía López,Educación,30,Femenino,7
86,María Torres,Educación,18,Masculino,7
87,María Torres,Educación,34,Femenino,1
88,Andrés López,Sistemas,32,Masculino,8
89,Andrés Vega,Psicología,28,Femenino,10
90,Andrés Morales,Psicología,32,Masculino,8
91,Daniela Castillo,Administración,26,Femenino,4
92,José Ramírez,Sistemas,27,Masculino,5
93,Camila Díaz,Psicología,20,Masculino,3
94,María Morales,Educación,22,Masculino,2
95,Pedro Morales,Contabilidad,35,Femenino,7
96,Ana López,Derecho,30,Masculino,10
97,Pedro Ramírez,Sistemas,29,Femenino,7
98,Pedro Vega,Educación,35,Masculino,8
99,María Castillo,Derecho,33,Masculino,7
100,Camila Morales,Educación,23,Femenino,3
101,Sofía Vega,Sistemas,30,Masculino,2
102,Pedro Torres,Derecho,23,Masculino,5
103,Pedro Díaz,Administración,32,Femenino,6
104,Pedro Castillo,Derecho,26,Masculino,8
105,Ana Vega,Sistemas,29,Masculino,2
106,Ana Pérez,Administración,24,Masculino,10
107,Carlos López,Administración,33,Masculino,10
108,María Ramírez,Educación,26,Femenino,3
109,Sofía Ruiz,Educación,21,Masculino,5
110,Luis Ruiz,Sistemas,27,Femenino,7
111,María Gómez,Psicología,25,Masculino,5
112,Sofía Gómez,Psicología,19,Femenino,9
113,Pedro Díaz,Sistemas,34,Femenino,1
114,Pedro Ramírez,Sistemas,31,Femenino,8
115,Carlos Morales,Administración,34,Femenino,10
116,Andrés Ramírez,Derecho,31,Femenino,6
117,María Gómez,Contabilidad,32,Masculino,8
118,Sofía Ruiz,Educación,30,Femenino,1
119,Daniela Díaz,Administración,33,Masculino,6
120,José Díaz,Contabilidad,26,Masculino,9
121,María Gómez,Administración,31,Femenino,9
122,María Ramírez,Educación,33,Femenino,1
123,Luis Castillo,Administración,30,Masculino,5
124,Sofía Díaz,Derecho,35,Femenino,7
125,Andrés Díaz,Contabilidad,32,Femenino,5
126,José López,Sistemas,24,Femenino,2
127,Andrés Torres,Administración,24,Femenino,5
128,Sofía Vega,Psicología,27,Masculino,4
129,José López,Contabilidad,23,Femenino,1
130,Andrés Torres,Contabilidad,19,Masculino,9
131,José Torres,Educación,33,Masculino,1
132,Sofía Castillo,Derecho,33,Femenino,6
133,Carlos Pérez,Contabilidad,33,Masculino,2
134,Pedro Ramírez,Sistemas,19,Masculino,3
135,Sofía Castillo,Sistemas,25,Masculino,9
136,Pedro Ruiz,Psicología,25,Femenino,8
137,Daniela Castillo,Psicología,31,Femenino,10
138,Sofía Pérez,Psicología,21,Masculino,4
139,José Gómez,Administración,25,Masculino,9
140,Luis Torres,Sistemas,31,Femenino,10
141,Daniela Castillo,Sistemas,25,Femenino,5
142,Daniela Gómez,Educación,25,Femenino,10
143,María Morales,Sistemas,35,Masculino,3
144,José Torres,Sistemas,19,Masculino,5
145,Sofía Ruiz,Contabilidad,32,Masculino,8
146,José Morales,Contabilidad,34,Femenino,8
147,Luis Ruiz,Sistemas,31,Femenino,10
148,José Pérez,Sistemas,25,Masculino,5
149,Sofía Pérez,Administración,33,Femenino,5
150,Carlos Ruiz,Derecho,33,Masculino,8
151,Camila Morales,Contabilidad,28,Masculino,3
152,Camila Morales,Educación,33,Femenino,7
153,Andrés Pérez,Derecho,20,Femenino,5
154,Camila Gómez,Derecho,34,Masculino,9
155,Daniela Morales,Sistemas,24,Femenino,10
156,Daniela Ramírez,Sistemas,24,Femenino,9
157,Carlos Castillo,Derecho,33,Masculino,1
158,Sofía López,Educación,23,Femenino,9
159,Ana Vega,Derecho,20,Masculino,2
160,Daniela Gómez,Educación,22,Femenino,5
161,Andrés Castillo,Derecho,33,Femenino,4
162,Daniela Vega,Administración,30,Masculino,10
163,Andrés Torres,Sistemas,26,Femenino,6
164,Andrés Castillo,Sistemas,27,Femenino,10
165,Sofía Ramírez,Administración,32,Femenino,6
166,Camila Vega,Psicología,30,Femenino,6
167,María López,Psicología,30,Masculino,7
168,Ana Díaz,Educación,33,Femenino,7
169,Carlos Ramírez,Sistemas,22,Femenino,2
170,Daniela Gómez,Psicología,32,Masculino,3
171,Pedro Torres,Sistemas,33,Femenino,6
172,Sofía Morales,Educación,20,Femenino,9
173,Pedro Díaz,Educación,33,Masculino,10
174,Luis López,Educación,27,Masculino,2
175,Pedro Gómez,Educación,21,Femenino,3
176,José Pérez,Sistemas,28,Masculino,5
177,Camila Díaz,Derecho,22,Masculino,9
178,Pedro Ruiz,Educación,23,Masculino,3
179,Luis Ruiz,Derecho,25,Femenino,10
180,Carlos López,Derecho,26,Femenino,5
181,Ana Ramírez,Contabilidad,35,Masculino,2
182,Daniela Díaz,Psicología,27,Femenino,5
183,Daniela Castillo,Administración,30,Femenino,2
184,María Morales,Psicología,29,Femenino,5
185,Ana Morales,Contabilidad,18,Masculino,10
186,Daniela Castillo,Administración,29,Masculino,4
187,Sofía Castillo,Educación,22,Masculino,1
188,José Ramírez,Sistemas,29,Masculino,2
189,José Díaz,Educación,31,Masculino,4
190,Carlos Vega,Contabilidad,34,Femenino,3
191,José Ramírez,Contabilidad,28,Masculino,8
192,Luis Torres,Administración,30,Femenino,2
193,Pedro Pérez,Contabilidad,35,Masculino,8
194,Camila Castillo,Psicología,30,Femenino,2
195,María Ramírez,Sistemas,35,Femenino,10
196,María Gómez,Educación,32,Femenino,7
197,Luis Torres,Sistemas,19,Femenino,8
198,Luis Gómez,Administración,35,Masculino,7
199,Daniela Díaz,Educación,35,Femenino,10
200,Carlos Morales,Educación,21,Femenino,10
201,Pedro Castillo,Sistemas,29,Masculino,8
202,Daniela López,Contabilidad,21,Femenino,9
203,Camila Pérez,Derecho,26,Masculino,2
204,Daniela Gómez,Educación,24,Masculino,1
205,Camila López,Administración,24,Masculino,9
206,María Ruiz,Administración,25,Femenino,3
207,Sofía Pérez,Contabilidad,22,Masculino,9
208,José Torres,Sistemas,18,Masculino,1
209,Camila López,Psicología,28,Masculino,3
210,José Pérez,Administración,31,Masculino,2
211,Daniela Ramírez,Contabilidad,34,Masculino,8
212,Andrés López,Psicología,19,Femenino,8
213,Ana Pérez,Derecho,30,Femenino,2
214,Daniela Ramírez,Sistemas,20,Femenino,10
215,Carlos Gómez,Administración,26,Femenino,7
216,Sofía Vega,Contabilidad,32,Femenino,2
217,Luis Vega,Educación,24,Femenino,8
218,María Morales,Contabilidad,32,Femenino,7
219,Luis Díaz,Derecho,28,Femenino,6
220,Carlos Ramírez,Sistemas,20,Masculino,2
221,Pedro Gómez,Educación,29,Masculino,9
222,Ana Ruiz,Psicología,35,Femenino,2
223,Pedro Díaz,Educación,31,Masculino,5
224,Sofía Castillo,Contabilidad,21,Masculino,3
225,Daniela López,Sistemas,29,Femenino,2
226,José Ruiz,Administración,31,Masculino,10
227,José Pérez,Administración,26,Femenino,6
228,Camila Pérez,Administración,22,Femenino,2
229,Carlos Pérez,Sistemas,34,Masculino,7
230,Pedro Ramírez,Contabilidad,23,Femenino,5
231,Camila Ruiz,Psicología,20,Masculino,3
232,Carlos Ruiz,Sistemas,20,Femenino,8
233,Pedro Ramírez,Psicología,32,Femenino,5
234,María Vega,Sistemas,29,Femenino,2
235,José Ruiz,Derecho,34,Femenino,1
236,María Morales,Psicología,19,Masculino,4
237,José López,Administración,26,Femenino,6
238,Luis Pérez,Derecho,31,Masculino,3
239,Pedro Vega,Educación,25,Femenino,2
240,Pedro Pérez,Derecho,18,Femenino,2
241,Camila Ruiz,Derecho,30,Femenino,5
242,Luis Morales,Sistemas,28,Masculino,10
243,Daniela Díaz,Sistemas,31,Masculino,4
244,Pedro Ruiz,Derecho,34,Masculino,7
245,José Díaz,Administración,28,Masculino,2
246,Andrés Gómez,Psicología,34,Masculino,6
247,Camila Torres,Administración,21,Masculino,5
248,María Torres,Psicología,22,Masculino,3
249,Daniela Ramírez,Psicología,32,Femenino,6
250,Carlos Ramírez,Sistemas,33,Femenino,5
251,José Ruiz,Sistemas,29,Masculino,5
252,Daniela Ramírez,Sistemas,19,Femenino,5
253,Luis Gómez,Psicología,34,Femenino,8
254,Sofía Vega,Educación,19,Femenino,10
255,María Díaz,Psicología,33,Masculino,1
256,Daniela Gómez,Contabilidad,20,Masculino,1
257,María Ramírez,Derecho,34,Masculino,6
258,Camila Castillo,Derecho,31,Femenino,10
259,Ana Díaz,Sistemas,28,Masculino,9
260,Pedro Castillo,Contabilidad,22,Femenino,2
261,Sofía Torres,Contabilidad,27,Femenino,3
262,Sofía Gómez,Contabilidad,35,Femenino,6
263,Carlos Vega,Sistemas,31,Femenino,1
264,Camila Castillo,Administración,24,Femenino,8
265,María López,Administración,22,Masculino,5
266,Luis Vega,Psicología,34,Masculino,6
267,Sofía Torres,Psicología,30,Masculino,3
268,Carlos Ruiz,Administración,32,Masculino,7
269,Camila López,Derecho,27,Femenino,4
270,Andrés López,Contabilidad,33,Masculino,6
271,Sofía Ramírez,Derecho,27,Femenino,9
272,Andrés Morales,Administración,24,Masculino,5
273,Ana Ramírez,Contabilidad,35,Masculino,9
274,Luis Castillo,Sistemas,23,Femenino,8
275,Andrés Torres,Derecho,20,Masculino,8
276,Camila Pérez,Derecho,19,Femenino,9
277,Camila López,Derecho,20,Femenino,4
278,Ana Díaz,Sistemas,28,Masculino,3
279,Ana Castillo,Derecho,22,Femenino,8
280,Sofía Pérez,Sistemas,18,Femenino,4
281,Carlos Vega,Educación,34,Femenino,2
282,José López,Contabilidad,21,Masculino,4
283,Pedro Ruiz,Derecho,20,Masculino,8
284,Sofía Vega,Sistemas,34,Masculino,3
285,José Morales,Sistemas,29,Masculino,10
286,Pedro Torres,Educación,20,Femenino,2
287,Andrés Vega,Psicología,34,Masculino,7
288,Daniela Pérez,Educación,30,Femenino,5
289,Ana Díaz,Sistemas,29,Masculino,2
290,Sofía Díaz,Administración,19,Femenino,9
291,Camila Torres,Educación,32,Femenino,3
292,Carlos Gómez,Educación,32,Masculino,5
293,María Pérez,Administración,19,Femenino,5
294,Andrés Morales,Psicología,33,Femenino,1
295,María Castillo,Contabilidad,19,Femenino,5
296,Luis Díaz,Derecho,30,Femenino,7
297,Camila Torres,Derecho,33,Femenino,9
298,José Gómez,Educación,31,Masculino,7
299,Sofía Torres,Psicología,27,Femenino,2
300,Luis Díaz,Educación,27,Femenino,8
301,Sofía Morales,Administración,32,Femenino,8
302,Ana Díaz,Psicología,31,Femenino,1
303,Luis Morales,Contabilidad,34,Masculino,1
304,Carlos Ruiz,Educación,32,Masculino,3
305,Luis López,Educación,29,Femenino,7
306,Sofía Pérez,Psicología,22,Femenino,6
307,Camila Ramírez,Sistemas,22,Femenino,7
308,Camila Castillo,Administración,21,Masculino,3
309,Daniela Vega,Derecho,35,Masculino,5
310,José Ramírez,Administración,27,Femenino,4
311,Luis Torres,Sistemas,32,Masculino,8
312,Luis Díaz,Educación,29,Masculino,9
313,Andrés Castillo,Contabilidad,23,Masculino,6
314,Andrés López,Sistemas,24,Masculino,4
315,Daniela Pérez,Contabilidad,35,Femenino,8
316,Andrés Torres,Psicología,20,Masculino,5
317,Pedro Ramírez,Psicología,31,Femenino,10
318,Luis Torres,Contabilidad,20,Femenino,8
319,Andrés Díaz,Administración,35,Masculino,3
320,Pedro Vega,Sistemas,21,Masculino,5
321,Carlos Torres,Contabilidad,25,Femenino,9
322,José Gómez,Contabilidad,24,Femenino,3
323,José Ruiz,Psicología,20,Masculino,10
324,Sofía Torres,Administración,28,Masculino,1
325,Luis Pérez,Educación,26,Masculino,10
326,Pedro Ruiz,Educación,18,Femenino,9
327,José Castillo,Derecho,25,Femenino,5
328,Daniela Gómez,Educación,19,Masculino,8
329,Pedro Ramírez,Derecho,24,Femenino,10
330,Carlos Díaz,Educación,28,Femenino,7
331,Carlos Díaz,Psicología,35,Masculino,6
332,María Ramírez,Sistemas,26,Femenino,4
333,Carlos Gómez,Sistemas,27,Femenino,10
334,Pedro López,Administración,28,Femenino,4
335,Carlos Ramírez,Psicología,32,Femenino,5
336,Daniela Pérez,Sistemas,30,Femenino,4
337,María Ruiz,Contabilidad,19,Masculino,5
338,Daniela Ruiz,Educación,33,Femenino,9
339,Ana Gómez,Derecho,22,Femenino,6
340,Pedro Díaz,Sistemas,30,Masculino,10
341,Andrés López,Contabilidad,35,Femenino,2
342,Pedro Vega,Derecho,35,Femenino,10
343,Sofía Gómez,Administración,21,Femenino,6
344,Camila Vega,Contabilidad,22,Masculino,10
345,Andrés Morales,Psicología,19,Masculino,1
346,Carlos Díaz,Derecho,34,Femenino,3
347,Sofía Vega,Administración,28,Femenino,3
348,Pedro Ruiz,Educación,27,Femenino,9
349,Andrés Vega,Derecho,27,Femenino,1
350,Camila Díaz,Educación,21,Femenino,10
351,José Pérez,Psicología,33,Femenino,10
352,Sofía López,Educación,19,Femenino,3
353,Andrés Ruiz,Derecho,22,Masculino,1
354,Sofía Gómez,Administración,18,Femenino,6
355,Pedro Torres,Derecho,24,Femenino,9
356,Sofía Ramírez,Educación,19,Masculino,9
357,María Vega,Contabilidad,33,Femenino,6
358,Carlos Ramírez,Psicología,28,Femenino,5
359,Sofía Ramírez,Administración,25,Femenino,9
360,José López,Contabilidad,27,Masculino,8
361,Camila Ramírez,Contabilidad,35,Femenino,5
362,Luis Ruiz,Educación,35,Femenino,7
363,Camila Torres,Contabilidad,19,Femenino,2
364,Camila Ramírez,Educación,26,Femenino,4
365,María Vega,Contabilidad,35,Femenino,3
366,Luis Ruiz,Educación,25,Masculino,1
367,Andrés López,Educación,25,Masculino,2
368,Pedro Díaz,Educación,33,Masculino,3
369,Ana Vega,Administración,31,Femenino,8
370,María Castillo,Contabilidad,27,Masculino,2
371,Sofía López,Psicología,19,Masculino,7
372,Carlos Pérez,Derecho,33,Masculino,5
373,Ana Pérez,Contabilidad,21,Femenino,5
374,Daniela Vega,Psicología,33,Masculino,9
375,Daniela Castillo,Administración,21,Femenino,3
376,Daniela Castillo,Educación,23,Masculino,6
377,José Ruiz,Educación,24,Masculino,10
378,Pedro Morales,Psicología,28,Masculino,7
379,Luis Torres,Administración,33,Femenino,4
380,Ana Castillo,Derecho,25,Femenino,5
381,Camila Castillo,Psicología,18,Femenino,6
382,María Pérez,Educación,21,Femenino,5
383,Carlos Morales,Educación,34,Femenino,2
384,José Díaz,Psicología,25,Masculino,3
385,Daniela Torres,Derecho,29,Femenino,9
386,Daniela Vega,Educación,24,Masculino,10
387,Luis Vega,Derecho,34,Femenino,2
388,Sofía Gómez,Sistemas,35,Masculino,10
389,Andrés Torres,Administración,28,Femenino,2
390,María Ruiz,Derecho,20,Femenino,1
391,Daniela Torres,Psicología,31,Femenino,10
392,Ana Vega,Derecho,27,Masculino,7
393,José Pérez,Educación,24,Masculino,1
394,Pedro Díaz,Educación,20,Masculino,2
395,Daniela Pérez,Contabilidad,31,Masculino,3
396,Pedro Díaz,Derecho,32,Femenino,7
397,Luis Vega,Administración,29,Masculino,3
398,Andrés Morales,Psicología,22,Masculino,1
399,Ana Castillo,Derecho,35,Femenino,9
400,Pedro López,Administración,32,Femenino,3
401,José López,Educación,21,Masculino,7
402,Sofía Pérez,Administración,24,Masculino,2
403,Sofía Pérez,Derecho,19,Masculino,1
404,Pedro Ramírez,Administración,35,Masculino,1
405,Carlos Vega,Contabilidad,25,Femenino,10
406,Sofía Díaz,Administración,27,Masculino,9
407,María Morales,Contabilidad,26,Masculino,9
408,Sofía Torres,Educación,31,Femenino,1
409,Camila Morales,Psicología,28,Femenino,7
410,Carlos Castillo,Derecho,23,Femenino,4
411,María Castillo,Educación,22,Femenino,1
412,Andrés Morales,Derecho,35,Masculino,7
413,María Castillo,Administración,28,Masculino,8
414,Camila Gómez,Psicología,24,Masculino,5
415,Pedro Ruiz,Psicología,19,Masculino,4
416,Sofía Vega,Administración,33,Masculino,6
417,José Pérez,Administración,24,Masculino,8
418,María Ruiz,Educación,24,Femenino,4
419,Andrés Díaz,Contabilidad,30,Femenino,9
420,Camila Castillo,Contabilidad,29,Femenino,8
421,Luis Ramírez,Contabilidad,24,Femenino,6
422,Pedro Pérez,Psicología,25,Masculino,1
423,José Vega,Psicología,31,Femenino,3
424,María Díaz,Administración,30,Masculino,8
425,Andrés Díaz,Contabilidad,33,Femenino,8
426,Carlos Díaz,Administración,22,Femenino,3
427,Andrés Pérez,Psicología,19,Masculino,1
428,Ana Morales,Administración,25,Masculino,3
429,Ana López,Psicología,32,Femenino,1
430,Sofía Ruiz,Derecho,33,Masculino,1
431,Andrés Vega,Derecho,18,Masculino,9
432,José Vega,Contabilidad,18,Femenino,3
433,Luis Gómez,Psicología,22,Masculino,4
434,Sofía Vega,Contabilidad,29,Femenino,7
435,Luis Díaz,Derecho,32,Masculino,4
436,José Gómez,Educación,19,Masculino,7
437,Pedro Morales,Psicología,33,Masculino,1
438,Carlos Gómez,Derecho,31,Femenino,10
439,Luis Vega,Sistemas,25,Masculino,10
440,Daniela Castillo,Sistemas,20,Femenino,9
441,Sofía Pérez,Administración,28,Masculino,4
442,Sofía Torres,Educación,30,Masculino,5
443,Carlos Ruiz,Administración,30,Femenino,7
444,Carlos Gómez,Psicología,29,Masculino,2
445,Pedro López,Sistemas,28,Femenino,6
446,Ana Castillo,Derecho,33,Masculino,6
447,Andrés Morales,Derecho,23,Femenino,2
448,Sofía Castillo,Administración,20,Masculino,5
449,Carlos Morales,Educación,22,Femenino,6
450,Camila Gómez,Sistemas,18,Femenino,8
451,Camila Castillo,Sistemas,22,Masculino,3
452,Pedro Ramírez,Psicología,35,Femenino,2
453,Ana Gómez,Contabilidad,35,Masculino,10
454,Sofía Díaz,Derecho,18,Femenino,7
455,Pedro Gómez,Educación,35,Masculino,10
456,Andrés Torres,Educación,30,Masculino,3
457,José Castillo,Contabilidad,33,Masculino,2
458,Carlos Morales,Contabilidad,31,Femenino,8
459,Luis Díaz,Contabilidad,25,Femenino,10
460,Sofía López,Derecho,21,Masculino,5
461,Ana Morales,Contabilidad,30,Femenino,8
462,Camila Morales,Educación,22,Femenino,6
463,Sofía López,Derecho,28,Masculino,7
464,Camila Castillo,Educación,33,Masculino,6
465,Pedro Castillo,Derecho,29,Masculino,10
466,María Ruiz,Psicología,23,Masculino,8
467,María Ramírez,Contabilidad,20,Femenino,8
468,Carlos Castillo,Administración,26,Masculino,7
469,Pedro Gómez,Derecho,33,Femenino,9
470,Andrés Morales,Psicología,19,Femenino,9
471,Sofía Gómez,Sistemas,25,Femenino,3
472,Sofía Pérez,Psicología,30,Femenino,7
473,Luis Pérez,Sistemas,26,Masculino,9
474,Andrés Vega,Psicología,25,Femenino,6
475,Pedro Ramírez,Educación,34,Masculino,6
476,Ana Ramírez,Sistemas,27,Femenino,2
477,Luis Torres,Contabilidad,27,Femenino,8
478,María Vega,Derecho,29,Femenino,2
479,Daniela Ramírez,Contabilidad,20,Femenino,1
480,Luis Pérez,Contabilidad,21,Masculino,4
481,Andrés Torres,Psicología,23,Femenino,9
482,Pedro Ramírez,Administración,30,Masculino,3
483,Pedro Morales,Sistemas,24,Femenino,10
484,Pedro Morales,Sistemas,24,Masculino,5
485,Luis Ruiz,Sistemas,35,Masculino,6
486,Camila López,Derecho,21,Femenino,8
487,Andrés Díaz,Psicología,30,Femenino,10
488,Luis Díaz,Contabilidad,32,Masculino,5
489,Sofía Ruiz,Sistemas,22,Femenino,2
490,María Castillo,Sistemas,23,Femenino,3
491,Andrés Morales,Derecho,22,Femenino,7
492,Carlos Ramírez,Educación,35,Masculino,9
493,Carlos Ramírez,Contabilidad,22,Masculino,6
494,Daniela Ruiz,Sistemas,29,Masculino,8
495,Carlos López,Derecho,35,Femenino,7
496,Daniela Morales,Educación,32,Femenino,3
497,Luis Ruiz,Sistemas,25,Femenino,1
498,José López,Psicología,27,Masculino,8
499,Sofía Ramírez,Psicología,34,Masculino,10
500,Luis Castillo,Psicología,29,Masculino,8
501,Andrés López,Derecho,21,Masculino,5
502,Ana Ramírez,Contabilidad,29,Masculino,8
503,Luis López,Administración,29,Femenino,3
504,Sofía Torres,Administración,24,Masculino,10
505,Camila Vega,Contabilidad,35,Masculino,6
506,José Castillo,Psicología,26,Masculino,3
507,Pedro Pérez,Contabilidad,22,Masculino,4
508,Carlos Díaz,Administración,30,Femenino,3
509,Sofía Castillo,Educación,31,Femenino,8
510,Luis Gómez,Derecho,34,Femenino,6
511,Daniela Ramírez,Contabilidad,18,Masculino,8
512,Camila Gómez,Psicología,30,Masculino,7
513,María Ramírez,Contabilidad,28,Femenino,6
514,Andrés Ruiz,Administración,33,Femenino,1
515,Ana Gómez,Educación,32,Masculino,2
516,Carlos Ramírez,Derecho,18,Femenino,4
517,Carlos Castillo,Administración,26,Masculino,6
518,José Gómez,Contabilidad,23,Masculino,7
519,José López,Derecho,20,Masculino,1
520,María Ramírez,Sistemas,22,Masculino,9
521,Daniela Pérez,Sistemas,28,Masculino,7
522,Carlos Ramírez,Sistemas,25,Femenino,2
523,Luis Gómez,Contabilidad,29,Femenino,3
524,Pedro Torres,Educación,22,Masculino,9
525,Sofía Pérez,Psicología,23,Femenino,6
526,María Torres,Derecho,32,Masculino,2
527,Luis Torres,Sistemas,30,Femenino,7
528,Camila Torres,Administración,26,Masculino,4
529,Andrés Ruiz,Psicología,27,Masculino,5
530,María Vega,Psicología,34,Masculino,7
531,José Pérez,Administración,33,Femenino,2
532,María Ramírez,Educación,20,Masculino,6
533,Camila Torres,Derecho,31,Femenino,9
534,Carlos Ramírez,Sistemas,18,Masculino,1
535,José López,Sistemas,19,Femenino,9
536,José Vega,Derecho,31,Femenino,2
537,Andrés Vega,Psicología,22,Femenino,2
538,José Gómez,Psicología,24,Masculino,9
539,Camila Morales,Psicología,20,Femenino,7
540,María Pérez,Administración,20,Femenino,2
541,Daniela Ruiz,Psicología,19,Femenino,3
542,Luis Pérez,Educación,22,Masculino,3
543,Daniela Díaz,Psicología,34,Femenino,3
544,Camila Torres,Educación,26,Masculino,1
545,Camila Morales,Contabilidad,34,Masculino,5
546,Sofía Gómez,Derecho,32,Femenino,1
547,Daniela Ruiz,Administración,29,Masculino,5
548,Luis Ruiz,Educación,21,Masculino,9
549,Ana Pérez,Sistemas,25,Masculino,8
550,Camila Morales,Administración,23,Masculino,9
551,Pedro López,Contabilidad,25,Femenino,6
552,José Gómez,Psicología,29,Masculino,9
553,Ana Torres,Administración,34,Masculino,7
554,Luis Ramírez,Contabilidad,27,Femenino,2
555,Andrés Ramírez,Sistemas,29,Masculino,5
556,Sofía Castillo,Educación,25,Femenino,6
557,Sofía Ramírez,Administración,35,Masculino,3
558,Ana Morales,Sistemas,25,Femenino,1
559,Camila Pérez,Educación,30,Femenino,2
560,María Vega,Administración,31,Femenino,1
561,Carlos Castillo,Sistemas,19,Masculino,9
562,Pedro Díaz,Derecho,20,Masculino,9
563,Carlos Morales,Sistemas,19,Femenino,3
564,María Castillo,Contabilidad,28,Femenino,6
565,Camila Ramírez,Contabilidad,25,Masculino,4
566,Carlos Ruiz,Sistemas,22,Masculino,3
567,Daniela Ramírez,Contabilidad,31,Masculino,9
568,Camila López,Derecho,27,Femenino,5
569,Luis Gómez,Administración,27,Masculino,4
570,Camila Torres,Sistemas,25,Femenino,7
571,Andrés Pérez,Educación,27,Femenino,3
572,Ana Morales,Derecho,35,Masculino,2
573,Daniela Gómez,Administración,21,Masculino,1
574,María Torres,Administración,30,Femenino,2
575,Sofía Ruiz,Contabilidad,20,Masculino,2
576,María Ramírez,Administración,20,Femenino,2
577,Ana Ramírez,Sistemas,23,Femenino,7
578,Daniela Pérez,Derecho,31,Masculino,6
579,María Torres,Contabilidad,26,Femenino,3
580,Ana Ruiz,Psicología,25,Femenino,8
581,Pedro Vega,Derecho,19,Masculino,5
582,Pedro Torres,Derecho,24,Masculino,9
583,Ana Morales,Educación,29,Femenino,9
